"plate","state","license_type","summons_number","issue_date","violation_time","violation","judgment_entry_date","fine_amount","penalty_amount","interest_amount","reduction_amount","payment_amount","amount_due","precinct","county","issuing_agency","violation_status","summons_image"
"LCD3784","NY","PAS","9077628101","09/27/2023","12:10P","NO PARKING-STREET CLEANING",,"65","10","0","10","65","0","061","K","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQk0wNTZXWGxQUkVWM1RWRTlQUT09&locationName=_____________________)"
"29555MD","NY","COM","9040676823","03/22/2023","08:59A","NO PARKING-DAY/TIME LIMITS",,"65","0","0","40","25","0","019","NY","TRAFFIC","HEARING HELD-GUILTY REDUCTION","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQk1FMUVXVE5PYW1kNVRYYzlQUT09&locationName=_____________________)"
"KJN6844","NY","PAS","5127515829","05/14/2023","06:35P","FAILURE TO STOP AT RED LIGHT",,"50","0","0","0","50","0","000","QN","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSRmVVNTZWWGhPVkdkNVQxRTlQUT09&locationName=_____________________)"
"LBF3265","NY","PAS","5127516135","05/14/2023","06:43P","FAILURE TO STOP AT RED LIGHT",,"50","25","0","0","75","0","000","BX","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSRmVVNTZWWGhPYWtWNlRsRTlQUT09&locationName=_____________________)"
"KNP1013","NY","PAS","5127516160","05/14/2023","06:43P","FAILURE TO STOP AT RED LIGHT",,"50","25","0","0","75","0","000","QN","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSRmVVNTZWWGhPYWtVeVRVRTlQUT09&locationName=_____________________)"
"FYT6842","NY","PAS","9064132290","06/30/2023","08:41A","INSP. STICKER-EXPIRED/MISSING",,"65","0","0","0","65","0","075","K","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQk1rNUVSWHBOYWtrMVRVRTlQUT09&locationName=_____________________)"
"FP154766","IL","PAS","9068988530","08/04/2023","07:27A","SAFETY ZONE",,"115","0","0","0","115","0","106","Q","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQk1rOUVhelJQUkZWNlRVRTlQUT09&locationName=_____________________)"
"MBR0073","PA","PAS","9068988621","08/04/2023","08:17A","FIRE HYDRANT",,"115","0","0","0","115","0","106","Q","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQk1rOUVhelJQUkZsNVRWRTlQUT09&locationName=_____________________)"
"L82MCC","NJ","PAS","9064132288","06/30/2023","07:38A","NO STANDING-EXC. TRUCK LOADING",,"95","0","0","0","95","0","069","K","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQk1rNUVSWHBOYWtrMFQwRTlQUT09&locationName=_____________________)"
"JFP4499","NY","PAS","9064132306","06/30/2023","08:47A","INSP. STICKER-EXPIRED/MISSING",,"65","0","0","0","65","0","075","K","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQk1rNUVSWHBOYWsxM1RtYzlQUT09&locationName=_____________________)"
"T737948C","NY","OMT","5127516081","05/14/2023","06:41P","FAILURE TO STOP AT RED LIGHT",,"50","25","0","0","75","0","000","BX","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSRmVVNTZWWGhPYWtFMFRWRTlQUT09&locationName=_____________________)"
"JRJ6699","NY","PAS","9077628137","09/27/2023","12:22P","NO PARKING-STREET CLEANING",,"65","0","0","0","65","0","061","K","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQk0wNTZXWGxQUkVWNlRuYzlQUT09&locationName=_____________________)"
"T800897C","NY","OMT","9040677025","03/22/2023","11:30A","EXPIRED MUNI METER",,"65","0","0","0","65","0","019","NY","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQk1FMUVXVE5PZWtGNVRsRTlQUT09&locationName=_____________________)"
"77947JY","NY","COM","9040676914","03/22/2023","09:36A","NO STANDING-DAY/TIME LIMITS",,"115","0","0","25","90","0","019","NY","TRAFFIC","HEARING HELD-GUILTY REDUCTION","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQk1FMUVXVE5PYW10NFRrRTlQUT09&locationName=_____________________)"
"65277NB","NY","COM","9040677074","03/23/2023","08:55A","FAIL TO DSPLY MUNI METER RECPT",,"35","0","0","10","25","0","024","NY","TRAFFIC","HEARING HELD-GUILTY REDUCTION","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQk1FMUVXVE5PZWtFelRrRTlQUT09&locationName=_____________________)"
"KUH5217","NY","PAS","9068988657","08/04/2023","09:07A","FIRE HYDRANT",,"115","30","0","20","125","0","106","Q","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQk1rOUVhelJQUkZreFRuYzlQUT09&locationName=_____________________)"
"KUW4154","NY","PAS","5127515805","05/14/2023","06:34P","FAILURE TO STOP AT RED LIGHT","08/17/2023","50","25","0.93","0.04","75.89","0","000","BK","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSRmVVNTZWWGhPVkdkM1RsRTlQUT09&locationName=_____________________)"
"KZR2614","NY","PAS","1488364990","02/13/2023","01:59P","NO STANDING-DAY/TIME LIMITS","06/01/2023","115","60","1.29","176.29","0","0","078","K","POLICE DEPARTMENT",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk5FOUVUVEpPUkdzMVRVRTlQUT09&locationName=_____________________)"
"KTR8744","NY","PAS","9064132367","07/03/2023","05:16A","FIRE HYDRANT",,"115","0","0","0","115","0","066","K","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQk1rNUVSWHBOYWsweVRuYzlQUT09&locationName=_____________________)"
"JLN3688","NY","PAS","9068988694","08/19/2023","05:50A","FIRE HYDRANT",,"115","0","0","0","115","0","106","Q","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQk1rOUVhelJQUkZrMVRrRTlQUT09&locationName=_____________________)"
"KJZ3332","NY","PAS","1488365003","02/22/2024","12:06P","NO PARKING-DAY/TIME LIMITS",,"60","0","0","60","0","0","078","K","POLICE DEPARTMENT","HEARING HELD-NOT GUILTY","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk5FOUVUVEpPVkVGM1RYYzlQUT09&locationName=_____________________)"
"KES6660","NY","PAS","9077628162","09/27/2023","01:56P","EXPIRED MUNI METER",,"35","0","0","0","35","0","061","K","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQk0wNTZXWGxQUkVVeVRXYzlQUT09&locationName=_____________________)"
"LDD3001","NY","PAS","9068988682","08/04/2023","10:54A","INSP. STICKER-EXPIRED/MISSING",,"65","10","0","0","75","0","106","Q","TRAFFIC","HEARING HELD-GUILTY","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQk1rOUVhelJQUkZrMFRXYzlQUT09&locationName=_____________________)"
"JNK1508","NY","PAS","1488378423","02/20/2023","05:24P","CROSSWALK",,"115","0","0","0","115","0","075","K","POLICE DEPARTMENT",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk5FOUVUVE5QUkZGNVRYYzlQUT09&locationName=_____________________)"
"XDWX76","NJ","PAS","8819605491","03/16/2020","06:39A","NO STANDING-DAY/TIME LIMITS","07/28/2022","115","60","7.95","0.04","182.91","0","017","NY","TRAFFIC","HEARING HELD-GUILTY","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbmVFOVVXWGRPVkZFMVRWRTlQUT09&locationName=_____________________)"
"PRZ9818","MN","PAS","8819605508","03/16/2020","06:41A","NO STANDING-DAY/TIME LIMITS",,"115","0","0","0","115","0","017","NY","TRAFFIC","HEARING HELD-GUILTY","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbmVFOVVXWGRPVkZWM1QwRTlQUT09&locationName=_____________________)"
"HKP4030","NY","PAS","1488377881","02/15/2023","05:37P","OBSTRUCTING DRIVEWAY",,"95","30","0","30","95","0","081","K","POLICE DEPARTMENT","ADMIN REDUCTION","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk5FOUVUVE5PZW1jMFRWRTlQUT09&locationName=_____________________)"
"GKM6805","NY","PAS","9064132409","07/03/2023","05:33A","FRONT OR BACK PLATE MISSING",,"65","30","0","0","95","0","068","K","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQk1rNUVSWHBOYWxGM1QxRTlQUT09&locationName=_____________________)"
"KSM4098","NY","PAS","1488378393","02/20/2023","08:00P","OBSTRUCTING DRIVEWAY",,"95","0","0","95","0","0","075","K","POLICE DEPARTMENT","HEARING HELD-NOT GUILTY","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk5FOUVUVE5QUkUwMVRYYzlQUT09&locationName=_____________________)"
"KXU3315","NY","PAS","1488378400","02/20/2023","11:00P","CROSSWALK","06/08/2023","115","60","2.32","0.07","177.25","0","075","K","POLICE DEPARTMENT",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk5FOUVUVE5QUkZGM1RVRTlQUT09&locationName=_____________________)"
"71869MM","NY","COM","8819603913","03/09/2020","08:46A","DOUBLE PARKING",,"115","0","0","0","115","0","075","K","TRAFFIC","HEARING HELD-GUILTY","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbmVFOVVXWGROZW10NFRYYzlQUT09&locationName=_____________________)"
"BDJ7070","TX","PAS","8819604115","03/09/2020",,,,,,,,,,,,,,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbmVFOVVXWGRPUkVWNFRsRTlQUT09&locationName=_____________________)"
"LAE9823","NY","PAS","9064132380","07/03/2023","05:26A","FIRE HYDRANT",,"115","10","0","0","125","0","068","K","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQk1rNUVSWHBOYWswMFRVRTlQUT09&locationName=_____________________)"
"KPF8669","NY","PAS","5127516354","05/14/2023","06:51P","FAILURE TO STOP AT RED LIGHT",,"50","0","0","0","50","0","000","BK","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSRmVVNTZWWGhPYWsweFRrRTlQUT09&locationName=_____________________)"
"23585ML","NY","COM","8819610012","06/16/2020","08:09A","FAIL TO DISP. MUNI METER RECPT",,"65","0","0","0","65","0","017","NY","TRAFFIC","APPEAL AFFIRMED","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbmVFOVVXWGhOUkVGNFRXYzlQUT09&locationName=_____________________)"
"LBC5540","NY","PAS","5127516550","05/14/2023","06:57P","FAILURE TO STOP AT RED LIGHT",,"50","0","0","0","50","0","000","BX","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSRmVVNTZWWGhPYWxVeFRVRTlQUT09&locationName=_____________________)"
"KDS7002","NY","PAS","5127516639","05/14/2023","07:02P","FAILURE TO STOP AT RED LIGHT",,"50","25","0","0","75","0","000","BK","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSRmVVNTZWWGhPYWxsNlQxRTlQUT09&locationName=_____________________)"
"KTG8872","NY","PAS","5127516585","05/14/2023","06:58P","FAILURE TO STOP AT RED LIGHT",,"50","0","0","0","50","0","000","BX","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSRmVVNTZWWGhPYWxVMFRsRTlQUT09&locationName=_____________________)"
"JJT1755","NY","PAS","9064132434","07/03/2023","05:43A","FIRE HYDRANT",,"115","0","0","0","115","0","068","K","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQk1rNUVSWHBOYWxGNlRrRTlQUT09&locationName=_____________________)"
"JJT1755","NY","PAS","9064132446","07/03/2023","05:43A","REG. STICKER-EXPIRED/MISSING",,"65","0","0","0","65","0","068","K","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQk1rNUVSWHBOYWxFd1RtYzlQUT09&locationName=_____________________)"
"LAM5740","NY","PAS","9064132410","07/03/2023","05:35A","FIRE HYDRANT","10/19/2023","115","60","0.26","0.17","175.09","0","068","K","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQk1rNUVSWHBOYWxGNFRVRTlQUT09&locationName=_____________________)"
"KEK4089","NY","PAS","5127516494","05/14/2023","06:56P","FAILURE TO STOP AT RED LIGHT",,"50","0","0","0","50","0","000","ST","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSRmVVNTZWWGhPYWxFMVRrRTlQUT09&locationName=_____________________)"
"KMM5547","NY","PAS","5127516597","05/14/2023","07:01P","FAILURE TO STOP AT RED LIGHT",,"50","25","0","0","75","0","000","ST","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSRmVVNTZWWGhPYWxVMVRuYzlQUT09&locationName=_____________________)"
"N97HST","NJ","PAS","8819610607","06/22/2020",,,,,,,,,,,,,,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbmVFOVVXWGhOUkZsM1RuYzlQUT09&locationName=_____________________)"
"KLF9261","NY","PAS","8916949117","01/03/2022","02:11P","INSP. STICKER-EXPIRED/MISSING","07/28/2022","65","60","0.59","0.09","125.5","0","113","Q","TRAFFIC","HEARING ADJOURNMENT","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBScmVFNXFhekJQVkVWNFRuYzlQUT09&locationName=_____________________)"
"84648MN","NY","COM","8819609915","06/16/2020","07:11A","NO STANDING-DAY/TIME LIMITS","07/28/2022","115","60","5.92","0.13","180.79","0","017","NY","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbmVFOVVXWGRQVkd0NFRsRTlQUT09&locationName=_____________________)"
"T720898C","NY","OMT","5127516524","05/14/2023","06:57P","FAILURE TO STOP AT RED LIGHT",,"50","25","0","0","75","0","000","BK","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSRmVVNTZWWGhPYWxWNVRrRTlQUT09&locationName=_____________________)"
"PREZHDZ5","NY","SRF","5127517050","05/14/2023","07:21P","FAILURE TO STOP AT RED LIGHT",,"50","0","0","0","50","0","000","QN","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSRmVVNTZWWGhPZWtFeFRVRTlQUT09&locationName=_____________________)"
"LZK4528","PA","PAS","5127516901","05/14/2023","07:16P","FAILURE TO STOP AT RED LIGHT",,"50","0","0","0","50","0","000","BK","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSRmVVNTZWWGhPYW10M1RWRTlQUT09&locationName=_____________________)"
"JAL4223","NY","PAS","5127516925","05/14/2023","07:17P","FAILURE TO STOP AT RED LIGHT","08/17/2023","50","25","0.13","0.09","75.04","0","000","BX","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSRmVVNTZWWGhPYW10NVRsRTlQUT09&locationName=_____________________)"
"AY24304","CT","PAS","5127516998","05/14/2023","07:19P","FAILURE TO STOP AT RED LIGHT","08/17/2023","50","25","0.13","0.09","75.04","0","000","MN","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSRmVVNTZWWGhPYW1zMVQwRTlQUT09&locationName=_____________________)"
"KYX5545","NY","PAS","9077628186","09/27/2023","03:32P","EXPIRED MUNI METER",,"35","0","0","0","35","0","061","K","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQk0wNTZXWGxQUkVVMFRtYzlQUT09&locationName=_____________________)"
"KXS8455","NY","PAS","5127516883","05/14/2023","07:15P","FAILURE TO STOP AT RED LIGHT",,"50","25","0","0","75","0","000","QN","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSRmVVNTZWWGhPYW1jMFRYYzlQUT09&locationName=_____________________)"
"2962541","IN","PAS","8819613098","07/06/2020","07:49A","NO STANDING-DAY/TIME LIMITS",,"115","0","0","0","0","115","018","NY","TRAFFIC","HEARING PENDING","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbmVFOVVXWGhOZWtFMVQwRTlQUT09&locationName=_____________________)"
"KWZ5141","NY","PAS","9040677130","03/23/2023","09:42A","NO PARKING-STREET CLEANING",,"65","0","0","0","65","0","024","NY","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQk1FMUVXVE5PZWtWNlRVRTlQUT09&locationName=_____________________)"
"C110122","CT","CMB","8819612379","07/01/2020","07:50A","PEDESTRIAN RAMP",,"165","0","0","0","165","0","044","BX","TRAFFIC","APPEAL AFFIRMED","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbmVFOVVXWGhOYWswelQxRTlQUT09&locationName=_____________________)"
"KKR5111","NY","PAS","9040677165","03/23/2023","09:47A","NO PARKING-STREET CLEANING",,"65","0","0","0","65","0","024","NY","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQk1FMUVXVE5PZWtVeVRsRTlQUT09&locationName=_____________________)"
"PRZ9946","MN","PAS","8819614315","07/09/2020","08:53A","NO STANDING-DAY/TIME LIMITS",,"115","0","0","0","115","0","017","NY","TRAFFIC","HEARING HELD-GUILTY","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbmVFOVVXWGhPUkUxNFRsRTlQUT09&locationName=_____________________)"
"JEJ1979","NY","PAS","8819612987","07/06/2020","07:08A","NO STANDING-DAY/TIME LIMITS","09/01/2022","115","60","8.95","0.04","183.91","0","017","NY","TRAFFIC","HEARING HELD-GUILTY","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbmVFOVVXWGhOYW1zMFRuYzlQUT09&locationName=_____________________)"
"284KX1","MA","PAS","5127516937","05/14/2023","07:17P","FAILURE TO STOP AT RED LIGHT",,"50","0","0","0","50","0","000","BX","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSRmVVNTZWWGhPYW10NlRuYzlQUT09&locationName=_____________________)"
"HCB4421","NY","PAS","9077628230","09/28/2023","12:03P","NO PARKING-STREET CLEANING",,"65","0","0","0","65","0","076","K","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQk0wNTZXWGxQUkVsNlRVRTlQUT09&locationName=_____________________)"
"64762B","MD","PAS","8819614996","07/11/2020",,,,,,,,,,,,,,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbmVFOVVXWGhPUkdzMVRtYzlQUT09&locationName=_____________________)"
"GXX4830","NY","PAS","9040677177","03/23/2023","09:48A","NO PARKING-STREET CLEANING",,"65","0","0","0","65","0","024","NY","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQk1FMUVXVE5PZWtVelRuYzlQUT09&locationName=_____________________)"
"KDJ6029","NY","PAS","9040677232","03/23/2023","12:07P","NO PARKING-STREET CLEANING",,"65","0","0","0","65","0","024","NY","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQk1FMUVXVE5PZWtsNlRXYzlQUT09&locationName=_____________________)"
"HSZ6484","NY","PAS","9077628216","09/28/2023","12:01P","NO PARKING-STREET CLEANING",,"65","0","0","0","65","0","076","K","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQk0wNTZXWGxQUkVsNFRtYzlQUT09&locationName=_____________________)"
"651344R","NJ","PAS","8819615575","07/13/2020",,,,,,,,,,,,,,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbmVFOVVXWGhPVkZVelRsRTlQUT09&locationName=_____________________)"
"087829K","TX","PAS","8819615988","07/14/2020",,,,,,,,,,,,,,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbmVFOVVXWGhPVkdzMFQwRTlQUT09&locationName=_____________________)"
"56636MJ","NY","COM","8819614790","07/11/2020","11:02A","NO STANDING-DAY/TIME LIMITS","10/20/2022","115","60","6.8","0.09","181.71","0","014","NY","TRAFFIC","HEARING HELD-GUILTY REDUCTION","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbmVFOVVXWGhPUkdNMVRVRTlQUT09&locationName=_____________________)"
"8443HH","NJ","PAS","5127517103","05/14/2023","07:26P","FAILURE TO STOP AT RED LIGHT","08/17/2023","50","25","0.17","0.13","75.04","0","000","BK","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSRmVVNTZWWGhPZWtWM1RYYzlQUT09&locationName=_____________________)"
"KMR4600","NY","PAS","5127517061","05/14/2023","07:22P","FAILURE TO STOP AT RED LIGHT",,"50","25","0","25","50","0","000","BK","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSRmVVNTZWWGhPZWtFeVRWRTlQUT09&locationName=_____________________)"
"T723641C","NY","OMT","5127517127","05/14/2023","07:27P","FAILURE TO STOP AT RED LIGHT","08/17/2023","50","25","2.34","0.09","77.25","0","000","MN","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSRmVVNTZWWGhPZWtWNVRuYzlQUT09&locationName=_____________________)"
"LCJ1381","NY","PAS","5127517383","05/14/2023","07:40P","FAILURE TO STOP AT RED LIGHT",,"50","0","0","0","50","0","000","ST","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSRmVVNTZWWGhPZWswMFRYYzlQUT09&locationName=_____________________)"
"LBN9049","NY","PAS","5127517139","05/14/2023","07:27P","FAILURE TO STOP AT RED LIGHT",,"50","0","0","0","50","0","000","MN","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSRmVVNTZWWGhPZWtWNlQxRTlQUT09&locationName=_____________________)"
"78080D9","TX","PAS","8819616853","07/21/2020",,,,,,,,,,,,,,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbmVFOVVXWGhPYW1jeFRYYzlQUT09&locationName=_____________________)"
"XZ422C","NJ","PAS","8819616920","07/21/2020",,,,,,,,,,,,,,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbmVFOVVXWGhPYW10NVRVRTlQUT09&locationName=_____________________)"
"EKJ4124","NY","PAS","5127517243","05/14/2023","07:33P","FAILURE TO STOP AT RED LIGHT","08/17/2023","50","25","0.43","0.13","75.3","0","000","BX","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSRmVVNTZWWGhPZWtrd1RYYzlQUT09&locationName=_____________________)"
"JNT9968","NY","PAS","9077628289","09/28/2023","12:10P","NO PARKING-STREET CLEANING",,"65","0","0","0","65","0","076","K","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQk0wNTZXWGxQUkVrMFQxRTlQUT09&locationName=_____________________)"
"KYA5398","NY","PAS","5127517371","05/14/2023","07:38P","FAILURE TO STOP AT RED LIGHT","08/17/2023","50","25","2.25","0.13","77.12","0","000","BK","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSRmVVNTZWWGhPZWswelRWRTlQUT09&locationName=_____________________)"
"JHG7939","NY","PAS","5127517322","05/14/2023","07:36P","FAILURE TO STOP AT RED LIGHT",,"50","25","0","0","75","0","000","BK","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSRmVVNTZWWGhPZWsxNVRXYzlQUT09&locationName=_____________________)"
"KEH1420","NY","PAS","5127517334","05/14/2023","07:36P","FAILURE TO STOP AT RED LIGHT","08/17/2023","50","25","1.34","0.13","76.21","0","000","BK","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSRmVVNTZWWGhPZWsxNlRrRTlQUT09&locationName=_____________________)"
"ZHK7326","NY","COM","8819617766","07/23/2020",,,,,,,,,,,,,,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbmVFOVVXWGhPZW1NeVRtYzlQUT09&locationName=_____________________)"
"703043R","NJ","PAS","8819617924","07/24/2020",,,,,,,,,,,,,,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbmVFOVVXWGhPZW10NVRrRTlQUT09&locationName=_____________________)"
"JHD5239","NY","PAS","9064132823","07/05/2023","05:34A","REG. STICKER-EXPIRED/MISSING",,"65","0","0","0","65","0","060","K","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQk1rNUVSWHBOYW1kNVRYYzlQUT09&locationName=_____________________)"
"XDYH91","NJ","PAS","8819621400","08/11/2020","09:29A","NO STANDING-DAY/TIME LIMITS","12/08/2022","115","60","0.61","0.22","175.39","0","018","NY","TRAFFIC","HEARING HELD-GUILTY REDUCTION","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbmVFOVVXWGxOVkZGM1RVRTlQUT09&locationName=_____________________)"
"JRY9898","NY","PAS","9077628307","09/28/2023","12:13P","NO PARKING-STREET CLEANING",,"65","0","0","0","65","0","076","K","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQk0wNTZXWGxQUkUxM1RuYzlQUT09&locationName=_____________________)"
